layer	representation_type	strategy	split-type	r	p	fasttext-all-GS_r	in_freq_interval_225375_r	freq_lower_interval_1.5_r	freq_higher_interval_1.5_r	freq_lower_interval_1.75_r	freq_higher_interval_1.75_r	freq_lower_interval_2.25_r	freq_higher_interval_2.25_r	freq_lower_interval_2.5_r	freq_higher_interval_2.5_r	freq_lower_interval_2.75_r	freq_higher_interval_2.75_r	freq_lower_interval_3_r	freq_higher_interval_3_r	freq_lower_interval_3.25_r	freq_higher_interval_3.25_r	freq_lower_interval_3.5_r	freq_higher_interval_3.5_r	freq_lower_interval_3.75_r	freq_higher_interval_3.75_r	freq_lower_interval_4_r	freq_higher_interval_4_r	freq_lower_interval_4.25_r	freq_higher_interval_4.25_r	bothcomplete_flota_r	oneincomplete_flota_r
1	google#electra-base-discriminator-nocontext	waverage	all	0.221551902443386	0.0	0.363572704953465	0.279183239714853	0.242032313646823	0.295869834594526	0.231435285570865	0.304117897567654	0.208308635245876	0.32205910066551	0.202687899005167	0.334165611181795	0.1951270229757	0.344458157603237	0.198531564714303	0.352765578630099	0.21918423720715	0.366917545648137	0.242463606013079	0.379035565020824	0.265414177696557	0.383191675857477	0.279731802259371	0.381543948683555	0.285672888256318	0.369754345699289		
11	google#electra-base-discriminator-nocontext	onesentence-avg	0-split	0.119595890134722	1.99693860491694e-72	0.183367567088983	0.117409331544898		0.120853945987453		0.120853945987453		0.120535594443393	0.608759587435071	0.120213453257719	0.353666646994112	0.119299549335445	0.172964757955906	0.116620854381146	0.150474741949588	0.119192975080996	0.122492997945581	0.133614933206687	0.1111518038048	0.143123592079767	0.114089270044754	0.137687547626869	0.11798419924617	0.166813886107708		
11	google#electra-base-discriminator-nocontext	onesentence-avg	1-split	0.096987479544678	3.74300821804794e-48	0.110468375140108	0.106893663121222		0.119494771501869	-0.316227766016838	0.118453380331176	0.175736222816788	0.125357222843946	0.054481712079394	0.135009083736101	0.042945125948319	0.138871444972096	0.10052974619097	0.187997412244318	0.088013208594859	0.217631940003976	0.108586033236705	0.224288731022694	0.118301199097399	0.5	0.119331623352933		0.11973143490249			
11	google#electra-base-discriminator-nocontext	onesentence-avg	2-split	0.185945146922824	3.56272684902745e-174	0.211323231256641	0.200262531950245	0.239768316568917	0.170694706250874	0.218626617736357	0.172594524509588	0.197255359065304	0.190838542329566	0.192471781487692	0.209333605953579	0.191014823670218	0.186855027292736	0.192339718853105	0.125731648271212	0.192235254612274		0.19213698520581		0.19213698520581		0.19213698520581		0.19213698520581			
11	google#electra-base-discriminator-nocontext	onesentence-avg	all	0.109352538147608	1.45438585975972e-178	0.179594232757108	0.099336859740323	0.239768316568917	0.109583710043497	0.217828550627625	0.107767982946132	0.194141161852726	0.113206241613853	0.184175166597799	0.114736125670014	0.173994880374438	0.116427985988875	0.151574782456115	0.117384636663077	0.138955292580792	0.119835945890282	0.130693200528036	0.134301600311101	0.125513903036834	0.143469102853648	0.124998434402343	0.137687547626869	0.125156802042627	0.166813886107708		
8	google#electra-base-discriminator-nocontext	avg-omitlast	0-split	0.156324249891601	5.2724829334754695e-123	0.225736538909539	0.15560355295042		0.161110855018538		0.161110855018538		0.160893539704205	0.666736691000316	0.160428242529842	0.422939884731032	0.161229191233934	0.160387751063253	0.160467101037736	0.169184113357706	0.162452880233955	0.156930640546942	0.174700075878108	0.148760125820277	0.182305123711989	0.152489792124296	0.190958838299963	0.155852583390154	0.1984293238604		
8	google#electra-base-discriminator-nocontext	avg-omitlast	1-split	0.134758241203901	1.1977801643329601e-91	0.168710856099531	0.130348608690961		0.129171468965845	-0.632455532033676	0.128047613669252	0.189250115900484	0.133828411359366	0.08633334921955	0.144654468980181	0.062792808516055	0.139265385341251	0.124995344416735	0.165520490272516	0.114187555491866	0.184379651213858	0.124413989647278	0.124104481676703	0.130911401004222	0.5	0.12978754165982		0.129904100099143			
8	google#electra-base-discriminator-nocontext	avg-omitlast	2-split	0.235587053081973	2.47595259785319e-281	0.273806566594995	0.254457808208176	0.29274359300441	0.23776198638685	0.268485996533399	0.241508919343812	0.255837992221718	0.259223049568787	0.253272911092521	0.258388630939891	0.254088569132543	0.27597578730928	0.2540784907385	0.174571229140607	0.254900804044168		0.254622452247869		0.254622452247869		0.254622452247869		0.254622452247869			
8	google#electra-base-discriminator-nocontext	avg-omitlast	all	0.139680688222872	4.08484543403403e-291	0.218323050650664	0.118873644746194	0.29274359300441	0.147613975366554	0.268021565092326	0.144253253705322	0.252556562206981	0.140663371807959	0.243846009957691	0.140592739566338	0.230687699671485	0.146956225843474	0.202645457123336	0.150125362167421	0.184679881780178	0.157938959816268	0.168076273631011	0.174823883588436	0.156618322495443	0.182752557207531	0.156470913553765	0.190958838299963	0.158661455577769	0.1984293238604		
10	google#electra-base-discriminator-nocontext	avg-omitfirst	0-split	0.146143672326338	1.37944534831384e-107	0.219370232883918	0.14976202402274		0.149991735048453		0.149991735048453		0.149753074423399	0.666736691000316	0.149392435293772	0.370214352495671	0.149044807583499	0.182617801306728	0.146359630632572	0.177152078440818	0.147511543567932	0.153047182612689	0.160774693402125	0.141287142016206	0.167722983598912	0.144109655552852	0.171578684939813	0.146828713080653	0.202374210729355		
