layer	representation_type	strategy	split-type	r	p	fasttext-all-GS_r	in_freq_interval_225375_r	freq_lower_interval_1.5_r	freq_higher_interval_1.5_r	freq_lower_interval_1.75_r	freq_higher_interval_1.75_r	freq_lower_interval_2.25_r	freq_higher_interval_2.25_r	freq_lower_interval_2.5_r	freq_higher_interval_2.5_r	freq_lower_interval_2.75_r	freq_higher_interval_2.75_r	freq_lower_interval_3_r	freq_higher_interval_3_r	freq_lower_interval_3.25_r	freq_higher_interval_3.25_r	freq_lower_interval_3.5_r	freq_higher_interval_3.5_r	freq_lower_interval_3.75_r	freq_higher_interval_3.75_r	freq_lower_interval_4_r	freq_higher_interval_4_r	freq_lower_interval_4.25_r	freq_higher_interval_4.25_r	bothcomplete_flota_r	oneincomplete_flota_r
7	xlnet-base-cased-nocontext	onesentence-avg	1-split	0.038584334038269	0.215318579797574	0.134248883598046	0.088706815659372		0.092344265715444		0.092344265715444		0.098361552083874	0.1	0.085613322780116	0.292252912228231	0.056218655657925	0.241908136405151	0.093623379570898	0.10210948286159	0.060795562875914	0.11784041332771	0.036969643461805	0.10807261244373	0.05136424550668	0.092593859311543	-0.004663537964023	0.085795646202065	0.383065438841437		
7	xlnet-base-cased-nocontext	onesentence-avg	2-split	0.200443281015743	2.30566420170057e-09	0.186231400694442	0.083807688407006	0.418214736753982	0.197346936413734	0.379420328279677	0.184595034791172	0.333193630206841	0.17140752832398	0.284615695244469	0.180836482091013	0.267915475578198	0.271427270890962	0.235095298942261	0.324682169961053	0.228824515228316	0.493507904292917	0.218662013510418	0.66111191603029	0.2322463219301		0.235559309158122		0.239924392454365			
7	xlnet-base-cased-nocontext	onesentence-avg	all	0.142118020294879	5.60702965448378e-13	0.267672981798319	0.139191647064655	0.418214736753982	0.20101111545762	0.379420328279677	0.199397616907468	0.333193630206841	0.202703070768255	0.266922371031143	0.214663331862349	0.228202001455088	0.221482723728442	0.219711938811859	0.232522958192009	0.208516020012059	0.276323217848099	0.175138703818651	0.256665977429197	0.201966769195301	0.274126939672357	0.205280804275422	0.320465371857301	0.207525463842519	0.326585810799284		
6	xlnet-base-cased-nocontext	longest	0-split	0.387841234071995	1.51376800327956e-24	0.580568973662521	0.684422623722791		0.391071514668632		0.391071514668632		0.391071514668632		0.391071514668632		0.382224344357365	-0.5	0.374168208805067	0.697850027272662	0.378499532596078	0.548830244416409	0.317706369769835	0.614327016991185	0.325342422408317	0.463374508634776	0.34498170162303	0.41223914128483	0.231267944622735		
6	xlnet-base-cased-nocontext	longest	1-split	0.050870947379651	0.102240605371678	0.127403452257849	0.074992248651805		0.092187219590476		0.092187219590476		0.10005418962826	-0.3	0.088640908593595	0.123986083975613	0.058120111532411	0.207362784092421	0.086281956821128	0.124122385670253	0.103472994771174	0.098834545276794	0.052200978183305	0.113069453366995	0.024388778442021	0.097509959172541	-0.223849822273125	0.095925824875726	0.076613087768287		
6	xlnet-base-cased-nocontext	longest	2-split	0.167034419523675	6.93656537094559e-07	0.194885231101514	0.054854692146115	0.522171426171702	0.134937859943495	0.487099662372664	0.118869925244223	0.307426347020629	0.148248667319263	0.270549747634559	0.128133145358805	0.25003078467472	0.177625199333056	0.227653595492739	0.356744534244706	0.207501119487332	0.523829364514304	0.198035058464222	0.695015091211331	0.210410657272212		0.215073844822622		0.2186184216176			
6	xlnet-base-cased-nocontext	longest	all	0.119725280983858	1.3220730254505e-09	0.197767631110656	0.109553868888025	0.522171426171702	0.159102980284976	0.487099662372664	0.160991432885278	0.307426347020629	0.190202778515805	0.255624952317293	0.202865403945607	0.230961898481695	0.206931912535991	0.235674792475806	0.22233447643351	0.201316561054209	0.279723330897693	0.160747264110545	0.286207619312326	0.160116860619463	0.322300568729705	0.157899117735112	0.389350665672231	0.165069987356725	0.370391859104778		
7	xlnet-base-cased-nocontext	average	0-split	0.355677297745927	1.2212124261656701e-20	0.540844288281966	0.643733723978199		0.362853404334764		0.362853404334764		0.362853404334764		0.362853404334764		0.353597531672733	-0.5	0.347202596634455	0.621095346649752	0.351885453173861	0.4917624150705	0.278270810689535	0.607443254994263	0.270518621682536	0.451795759857708	0.268393491058677	0.397137432530585	0.193168890161764		
7	xlnet-base-cased-nocontext	average	1-split	0.038584334038269	0.215318579797574	0.134248883598046	0.088706815659372		0.092344265715444		0.092344265715444		0.098361552083874	0.1	0.085613322780116	0.292252912228231	0.056218655657925	0.241908136405151	0.093623379570898	0.10210948286159	0.060795562875914	0.11784041332771	0.036969643461805	0.10807261244373	0.05136424550668	0.092593859311543	-0.004663537964023	0.085795646202065	0.383065438841437		
7	xlnet-base-cased-nocontext	average	2-split	0.200443281015743	2.30566420170057e-09	0.186231400694442	0.083807688407006	0.418214736753982	0.197346936413734	0.379420328279677	0.184595034791172	0.333193630206841	0.17140752832398	0.284615695244469	0.180836482091013	0.267915475578198	0.271427270890962	0.235095298942261	0.324682169961053	0.228824515228316	0.493507904292917	0.218662013510418	0.66111191603029	0.2322463219301		0.235559309158122		0.239924392454365			
7	xlnet-base-cased-nocontext	average	all	0.142118020294879	5.60702965448378e-13	0.267672981798319	0.139191647064655	0.418214736753982	0.20101111545762	0.379420328279677	0.199397616907468	0.333193630206841	0.202703070768255	0.266922371031143	0.214663331862349	0.228202001455088	0.221482723728442	0.219711938811859	0.232522958192009	0.208516020012059	0.276323217848099	0.175138703818651	0.256665977429197	0.201966769195301	0.274126939672357	0.205280804275422	0.320465371857301	0.207525463842519	0.326585810799284		
3	xlnet-base-cased-nocontext	average	0-split	0.412229302674094	8.221508753120001e-28	0.610376303299862	0.721237097041503		0.414403139240947		0.414403139240947		0.414403139240947		0.414403139240947		0.405856434378203	-0.5	0.396258376254868	0.795778412894995	0.403431225656367	0.644517446758913	0.3646555374114	0.610240251971226	0.399286838456695	0.450527831240701	0.428267930295553	0.416079257201001	0.353808763064454		
3	xlnet-base-cased-nocontext	average	1-split	0.116670752637553	0.000171183756167	0.204633698972546	0.180498806322204		0.170955148163848		0.170955148163848		0.173257061439386	-0.5	0.14683175136767	0.411810921776144	0.108234037468861	0.419123073662972	0.163276737870462	0.19876481880781	0.200132673525726	0.149462361361045	0.219560877896151	0.167238138868168	0.224118092804328	0.166267066565035	-0.107261373172539	0.175364418797956	0.340502612303499		
3	xlnet-base-cased-nocontext	average	2-split	0.266706601671567	1.1050614232296401e-15	0.319999714310511	0.227948666713149	0.560219892895799	0.257338032926103	0.402488742009485	0.242860212920307	0.326736759175291	0.298566296116719	0.293402523475572	0.341052482255688	0.276103728313566	0.408374666658675	0.270425363956079	0.439335561228549	0.272715732317079	0.543695148797282	0.270494484984387	0.593305565668209	0.279741665245151		0.289022991771589		0.290902105486577			
3	xlnet-base-cased-nocontext	average	all	0.185069705438264	4.40533978126423e-21	0.306933231814596	0.210622454597476	0.560219892895799	0.241871842272463	0.402488742009485	0.238829315701029	0.326736759175291	0.255109467042966	0.275031981094023	0.265941916786374	0.25283029387338	0.259449845686928	0.284512405919903	0.270243567191719	0.266236379868792	0.320053860200829	0.223403698320249	0.331454847637402	0.22600445303371	0.388974658822986	0.228031114048077	0.458492276859497	0.23520213396892	0.454469437604162		
2	xlnet-base-cased-nocontext	longest	0-split	0.444930096244332	1.24011241846577e-32	0.638818336965451	0.727219448955794		0.448533728123908		0.448533728123908		0.448533728123908		0.448533728123908		0.440537852366095	-1.0	0.431135044496853	0.807247503103016	0.431532347417839	0.69841232292435	0.399409911657727	0.624252731911222	0.43829121710176	0.472280817154562	0.490408859363985	0.437663945870567	0.464401851708106		
2	xlnet-base-cased-nocontext	longest	1-split	0.099069563082687	0.001432021563024	0.167229851759378	0.102857913505102		0.129268412827991		0.129268412827991		0.13680174055841	-0.1	0.118012529590793	0.346865830169871	0.074577212126086	0.372019896428161	0.123452739375223	0.145213460831248	0.208928428108505	0.065868793233259	0.156127780260509	0.130580141897905	0.182361547896019	0.127702709202834	-0.027981227784141	0.134734478621887	0.331990046995912		
2	xlnet-base-cased-nocontext	longest	2-split	0.152470293225893	6.03950687144549e-06	0.199527288504468	0.065780316071889	0.480036861905409	0.115584820386055	0.333572257041992	0.09427812133721	0.221101401254541	0.155373076867979	0.184751329556192	0.191596858314529	0.162123122859704	0.253283736740497	0.151938894106315	0.463483797619402	0.137975965575182	0.605383636833896	0.138806865192512	0.711966678801851	0.146070480762589		0.167807120846285		0.165772047830794			
