	strategy	split-type	layer	model	accuracy	goldtrue_predicttrue	goldtrue_predictfalse	goldfalse_predicttrue	goldfalse_predictfalse
314	longest	2-split-all	11	bert	0.73224043715847	237	32	66	31
315	longest	ALL	11	bert	0.6777118364655457	2022	1011	944	2089
316	longest	SAME	11	bert	0.6839456467035733	1586	469	787	1132
317	longest	DIFF	11	bert	0.6658699808795411	436	542	157	957
318	longest	1-split-DIFF	11	bert	0.6410256410256411	46	26	16	29
319	longest	2-split-SAME	11	bert	0.7737226277372263	204	11	51	8
320	longest	2-split-DIFF	11	bert	0.6086956521739131	33	21	15	23
321	longest	0-split-dev-SAME	11	bert	0.6698717948717948	122	31	72	87
322	longest	0-split-dev-DIFF	11	bert	0.6287425149700598	37	38	24	68
323	longest	1-split-bal	11	bert	0.6111111111111112	26	19	16	29
324	longest	2-split-bal	11	bert	0.5979381443298969	85	12	66	31
325	longest	0-split-dev	12	bert	0.6576200417536534	150	78	86	165
326	longest	1-split-all	12	bert	0.6153846153846154	39	33	12	33
327	longest	2-split-all	12	bert	0.726775956284153	233	36	64	33
328	longest	ALL	12	bert	0.6803494889548302	1985	1048	891	2142
329	longest	SAME	12	bert	0.6894816305988928	1606	449	785	1134
330	longest	DIFF	12	bert	0.6630019120458891	379	599	106	1008
331	longest	1-split-DIFF	12	bert	0.6153846153846154	39	33	12	33
332	longest	2-split-SAME	12	bert	0.7554744525547445	197	18	49	10
333	longest	2-split-DIFF	12	bert	0.6413043478260869	36	18	15	23
334	longest	0-split-dev-SAME	12	bert	0.6634615384615384	121	32	73	86
335	longest	0-split-dev-DIFF	12	bert	0.6467065868263473	29	46	13	79
336	longest	1-split-bal	12	bert	0.5888888888888889	20	25	12	33
337	longest	2-split-bal	12	bert	0.6030927835051546	84	13	64	33
338	waverage	0-split-dev	0	bert	0.5490605427974948	36	192	24	227
339	waverage	1-split-all	0	bert	0.38461538461538464	0	72	0	45
340	waverage	2-split-all	0	bert	0.39617486338797814	65	204	17	80
341	waverage	ALL	0	bert	0.5304978569073524	552	2481	367	2666
342	waverage	SAME	0	bert	0.5294413688978359	552	1503	367	1552
343	waverage	DIFF	0	bert	0.5325047801147228	0	978	0	1114
344	waverage	1-split-DIFF	0	bert	0.38461538461538464	0	72	0	45
345	waverage	2-split-SAME	0	bert	0.3905109489051095	65	150	17	42
346	waverage	2-split-DIFF	0	bert	0.41304347826086957	0	54	0	38
347	waverage	0-split-dev-SAME	0	bert	0.5480769230769231	36	117	24	135
348	waverage	0-split-dev-DIFF	0	bert	0.5508982035928144	0	75	0	92
349	waverage	1-split-bal	0	bert	0.5	0	45	0	45
350	waverage	2-split-bal	0	bert	0.5309278350515464	23	74	17	80
351	waverage	0-split-dev	1	bert	0.5365344467640919	136	92	130	121
352	waverage	1-split-all	1	bert	0.48717948717948717	29	43	17	28
353	waverage	2-split-all	1	bert	0.7131147540983607	235	34	71	26
354	waverage	ALL	1	bert	0.5652818991097923	1885	1148	1489	1544
355	waverage	SAME	1	bert	0.5772521389028686	1834	221	1459	460
356	waverage	DIFF	1	bert	0.5425430210325047	51	927	30	1084
357	waverage	1-split-DIFF	1	bert	0.48717948717948717	29	43	17	28
358	waverage	2-split-SAME	1	bert	0.781021897810219	214	1	59	0
359	waverage	2-split-DIFF	1	bert	0.5108695652173914	21	33	12	26
360	waverage	0-split-dev-SAME	1	bert	0.5288461538461539	136	17	130	29
361	waverage	0-split-dev-DIFF	1	bert	0.5508982035928144	0	75	0	92
362	waverage	1-split-bal	1	bert	0.4888888888888889	16	29	17	28
363	waverage	2-split-bal	1	bert	0.5773195876288659	86	11	71	26
364	waverage	0-split-dev	2	bert	0.5636743215031316	135	93	116	135
365	waverage	1-split-all	2	bert	0.5299145299145299	36	36	19	26
366	waverage	2-split-all	2	bert	0.7131147540983607	242	27	78	19
367	waverage	ALL	2	bert	0.590669304319156	1878	1155	1328	1705
368	waverage	SAME	2	bert	0.6102164066431807	1790	265	1284	635
369	waverage	DIFF	2	bert	0.5535372848948374	88	890	44	1070
370	waverage	1-split-DIFF	2	bert	0.5299145299145299	36	36	19	26
371	waverage	2-split-SAME	2	bert	0.781021897810219	214	1	59	0
372	waverage	2-split-DIFF	2	bert	0.5108695652173914	28	26	19	19
373	waverage	0-split-dev-SAME	2	bert	0.5641025641025641	133	20	116	43
374	waverage	0-split-dev-DIFF	2	bert	0.562874251497006	2	73	0	92
375	waverage	1-split-bal	2	bert	0.5333333333333333	22	23	19	26
